S.No,Source IATA Code,Destination IATA Code,Flight Company,Source Latitude,Destination Latitude,Source Longitude,Destination Longitude,Miles,Carbon Emission
1,RDU,MIA,AMERICAN AIRLINES,35.877602,25.7932,-78.787498,-80.290604,701.9287082599773,112.52480631581555
2,MIA,EZE,AMERICAN AIRLINES,25.7932,-34.8222,-80.290604,-58.5358,4420.409256658998,708.6270864675405
3,MCI,CLT,AMERICAN AIRLINES,39.2976,35.214001,-94.713898,-80.9431,806.5646740815982,129.29879154991903
4,RDU,ORD,AMERICAN AIRLINES,35.877602,41.9786,-78.787498,-87.9048,645.2884704608351,103.44492154542425
5,MDT,PHL,AMERICAN AIRLINES,40.193501,39.871899,-76.763397,-75.241096,83.48442508366084,13.383223470390979
6,PHL,RDU,AMERICAN AIRLINES,39.871899,35.877602,-75.241096,-78.787498,336.7043107923578,53.97640374551768
7,RDU,LAX,AMERICAN AIRLINES,35.877602,33.942501,-78.787498,-118.407997,2231.9834575117075,357.8048643703401
8,LAX,RDU,AMERICAN AIRLINES,33.942501,35.877602,-118.407997,-78.787498,2231.9834575117075,357.8048643703401
9,RDU,LAX,AMERICAN AIRLINES,35.877602,33.942501,-78.787498,-118.407997,2231.9834575117075,357.8048643703401
10,RDU,DFW,AMERICAN AIRLINES,35.877602,32.896801,-78.787498,-97.038002,1058.401658566486,169.67028165832102
11,DFW,OKC,AMERICAN AIRLINES,32.896801,35.393101,-97.038002,-97.6007,175.3301257055285,28.106826525515256
12,OKC,DFW,AMERICAN AIRLINES,35.393101,32.896801,-97.6007,-97.038002,175.3301257055285,28.106826525515256
13,DFW,IAH,AMERICAN AIRLINES,32.896801,29.9844,-97.038002,-95.3414,224.5441994582613,35.996237589448334
14,LAX,RDU,AMERICAN AIRLINES,33.942501,35.877602,-118.407997,-78.787498,2231.9834575117075,357.8048643703401
15,LGA,RDU,AMERICAN AIRLINES,40.777199,35.877602,-73.872597,-78.787498,430.31549755244646,68.98302840015602
16,RDU,LGA,AMERICAN AIRLINES,35.877602,40.777199,-78.787498,-73.872597,430.31549755244646,68.98302840015602
17,MYR,DFW,AMERICAN AIRLINES,33.679699,32.896801,-78.928299,-97.038002,1045.285280147007,167.56762091250894
18,LGA,RDU,AMERICAN AIRLINES,40.777199,35.877602,-73.872597,-78.787498,430.31549755244646,68.98302840015602
19,RDU,LGA,AMERICAN AIRLINES,35.877602,40.777199,-78.787498,-73.872597,430.31549755244646,68.98302840015602
20,LGA,RDU,AMERICAN AIRLINES,40.777199,35.877602,-73.872597,-78.787498,430.31549755244646,68.98302840015602
21,RDU,LGA,AMERICAN AIRLINES,35.877602,40.777199,-78.787498,-73.872597,430.31549755244646,68.98302840015602
22,DFW,RDU,AMERICAN AIRLINES,32.896801,35.877602,-97.038002,-78.787498,1058.401658566486,169.67028165832102
23,DFW,PHX,AMERICAN AIRLINES,32.896801,33.434299,-97.038002,-112.012001,865.5050372730719,138.7474048838076
24,MSY,CLT,AMERICAN AIRLINES,29.993401,35.214001,-90.258003,-80.9431,650.258927282177,104.24172567174226
25,CLT,RDU,AMERICAN AIRLINES,35.214001,35.877602,-80.9431,-78.787498,129.47313212908,20.755582361123125
26,DFW,PHX,AMERICAN AIRLINES,32.896801,33.434299,-97.038002,-112.012001,865.5050372730719,138.7474048838076
27,DFW,RDU,AMERICAN AIRLINES,32.896801,35.877602,-97.038002,-78.787498,1058.401658566486,169.67028165832102
28,RDU,MIA,AMERICAN AIRLINES,35.877602,25.7932,-78.787498,-80.290604,701.9287082599773,112.52480631581555
29,MIA,BOG,AMERICAN AIRLINES,25.7932,4.70159,-80.290604,-74.1469,1511.9186186505042,242.37269074042771
30,BOG,DFW,AMERICAN AIRLINES,4.70159,32.896801,-74.1469,-97.038002,2442.0715229761336,391.48366764118913
31,RDU,DFW,AMERICAN AIRLINES,35.877602,32.896801,-78.787498,-97.038002,1058.401658566486,169.67028165832102
32,DFW,TUL,AMERICAN AIRLINES,32.896801,36.198399,-97.038002,-95.8881,237.1477865933761,38.01669377620117
33,TUL,DFW,AMERICAN AIRLINES,36.198399,32.896801,-95.8881,-97.038002,237.1477865933761,38.01669377620117
34,DFW,RDU,AMERICAN AIRLINES,32.896801,35.877602,-97.038002,-78.787498,1058.401658566486,169.67028165832102
35,RDU,BNA,AMERICAN AIRLINES,35.877602,36.1245,-78.787498,-86.6782,440.9672227200159,70.69058544591532
36,BNA,RDU,AMERICAN AIRLINES,36.1245,35.877602,-86.6782,-78.787498,440.9672227200159,70.69058544591532
37,DFW,OKC,AMERICAN AIRLINES,32.896801,35.393101,-97.038002,-97.6007,175.3301257055285,28.106826525515256
38,OKC,DCA,AMERICAN AIRLINES,35.393101,38.8521,-97.6007,-77.037697,1154.3312745720732,185.0485691310443
