IDENTIFIER,TRAVEL_BEGIN_DT,TRAVEL_END_DT,TRAVEL_EXPENSE_CATEGORY,ACCOUNT,PROJECT_ID, AMOUNT 
NC2402164958,02/04/24,02/06/24,Other Ground Transportation,53141,201585-10801,  109.80 
NC2402164970,02/15/24,,Mileage,53141,257585-04011,  231.82 
NC2402164976,01/16/24,01/18/24,Other Ground Transportation,53141,207113,  201.16 
NC2402164980,10/05/23,10/07/23,Other Ground Transportation,53141,201475,  114.13 
NC2402164984,02/04/24,02/06/24,Other Ground Transportation,53141,664177,  200.92 
NC2402164989,01/24/24,,Mileage,53141,201800-10686,  219.76 
NC2402165009,02/04/24,02/06/24,Other Ground Transportation,53141,354300,  16.21 
NC2402165012,01/21/24,01/23/24,Other Ground Transportation,53141,201256,  193.49 
NC2402165015,12/03/23,12/04/23,Other Ground Transportation,53141,201256,  84.32 
NC2402165017,01/29/24,01/31/24,Other Ground Transportation,53141,500624,  119.46 
NC2402165019,01/28/24,01/30/24,Other Ground Transportation,53141,201256,  221.90 
NC2402165022,02/12/24,02/13/24,Other Ground Transportation,53141,665534,  153.36 
NC2402195060,01/28/24,01/30/24,Mileage,53141,215141-10014,  191.62 
NC2402195068,02/01/24,02/01/24,Other Ground Transportation,53141,201444-05002,  47.52 
NC2402195074,01/28/24,01/30/24,Other Ground Transportation,53141,215141-10014,  125.07 
NC2402195111,01/17/24,01/19/24,Mileage,53141,201430-07430,  44.89 
NC2402195111,01/17/24,01/19/24,Other Ground Transportation,53141,201430-07430,  84.00 
NC2402195120,01/08/24,01/10/24,Mileage,53141,201430-07430,  533.32 
NC2402195147,09/16/23,09/22/23,Other Ground Transportation,53141,532505,  89.38 
NC2402205169,02/09/24,02/09/24,Mileage,53141,538936,  183.58 
NC2402205191,02/14/24,02/16/24,Other Ground Transportation,53141,201400,  73.32 
NC2402205229,02/11/24,02/12/24,Other Ground Transportation,53141,201637,  52.91 
NC2402205239,01/21/24,01/23/24,Other Ground Transportation,53141,201444,  39.90 
NC2402205241,02/08/24,02/11/24,Other Ground Transportation,53141,201444,  159.76 
NC2402205243,02/15/24,02/18/24,Other Ground Transportation,53141,760821-00007,  183.46 
NC2402205248,02/15/24,02/18/24,Other Ground Transportation,53141,760821-00007,  120.14 
NC2402215263,02/07/24,02/09/24,Other Ground Transportation,53141,201400,  57.30 
NC2402215272,02/13/24,02/15/24,Other Ground Transportation,53141,201474,  210.19 
NC2402215278,02/13/24,02/15/24,Other Ground Transportation,53141,201474,  45.58 
NC2402215278,02/13/24,02/15/24,Mileage,53141,201474,  13.40 
NC2402215298,02/13/24,02/15/24,Other Ground Transportation,53141,201474,  107.35 
NC2402215321,01/15/24,01/17/24,Other Ground Transportation,53141,201049-05142,  185.61 
NC2402215323,01/08/24,01/10/24,Other Ground Transportation,53141,201049-05142,  71.96 
NC2402215323,01/08/24,01/10/24,Mileage,53141,201049-05142,  89.78 
NC2402225342,02/13/24,02/15/24,Mileage,53141,769438-20230,  343.04 
NC2402225343,02/05/24,02/07/24,Mileage,53141,567788,  582.90 
NC2402225350,01/03/24,01/06/24,Mileage,53141,582646,  217.08 
NC2402225351,02/08/24,02/09/24,Other Ground Transportation,53141,580278,  150.45 
NC2402225357,01/15/24,01/25/24,Other Ground Transportation,53141,201501,  379.74 
NC2402225363,02/03/24,02/10/24,Other Ground Transportation,53141,583693-02904,  176.00 
NC2402225372,01/31/24,,Mileage,53141,661361,  341.70 
NC2402235406,01/23/24,02/21/24,Other Ground Transportation,53141,769264,  113.42 
NC2402265493,11/12/23,11/17/23,Other Ground Transportation,53141,569282,  109.46 
NC2402265520,02/12/24,02/16/24,Other Ground Transportation,53141,531995-09946,  62.23 
NC2402265520,02/12/24,02/16/24,Mileage,53141,531995-09946,  47.57 
NC2402265522,02/12/24,02/16/24,Mileage,53141,531995-09946,  147.40 
NC2402265527,02/12/24,02/16/24,Mileage,53141,531995-09946,  75.71 
NC2402265534,02/12/24,02/17/24,Mileage,53141,531995-09946,  12.06 
NC2402265534,02/12/24,02/17/24,Other Ground Transportation,53141,531995-09946,  41.25 
NC2402265542,02/12/24,02/16/24,Mileage,53141,531995-09946,  377.21 
NC2402265581,02/11/24,02/15/24,Other Ground Transportation,53141,682422,  118.47 
NC2402265611,02/01/24,02/04/24,Other Ground Transportation,53141,201402,  26.38 
NC2402275665,01/31/24,,Mileage,53141,370304,  27.47 
NC2402275667,02/20/24,02/23/24,Other Ground Transportation,53141,573657,  364.35 
NC2402275668,02/15/24,02/16/24,Other Ground Transportation,53141,201569,  40.74 
NC2402275671,01/31/24,,Mileage,53141,370304,  251.25 
NC2402275672,02/05/24,,Mileage,53141,370304,  118.59 
NC2402275673,02/08/24,,Mileage,53141,370304,  30.15 
NC2402275682,02/15/24,02/17/24,Mileage,53141,257604-43204,  324.28 
NC2402275683,02/19/24,02/21/24,Other Ground Transportation,53141,201430-07430,  71.56 
NC2402275683,02/19/24,02/21/24,Mileage,53141,201430-07430,  119.26 
NC2402275684,02/08/24,02/10/24,Mileage,53141,201334-05256,  243.21 
NC2402275689,02/08/24,02/10/24,Mileage,53141,201334-05256,  351.75 
NC2402275691,02/08/24,02/10/24,Mileage,53141,201334-05256,  334.33 
NC2402285725,02/08/24,02/10/24,Other Ground Transportation,53141,201430-07430,  199.79 
NC2402285729,02/15/24,02/16/24,Other Ground Transportation,53141,675317,  67.93 
NC2402285745,02/14/24,02/16/24,Other Ground Transportation,53141,355016-09304,  126.99 
NC2402285751,02/19/24,02/24/24,Other Ground Transportation,53141,376078,  67.84 
NC2402285753,02/25/24,02/26/24,Other Ground Transportation,53141,687291,  129.11 
NC2402285757,02/04/24,02/16/24,Other Ground Transportation,53141,376078,  143.99 
NC2402285788,02/18/24,02/20/24,Other Ground Transportation,53141,201584-50602,  144.44 
NC2402285795,12/12/23,12/12/23,Mileage,53141,760016-00005,  220.74 
NC2402285799,02/12/24,02/14/24,Mileage,53141,760016-00005,  220.43 
NC2402285806,02/22/24,,Mileage,53141,207865,  285.42 
NC2402295829,10/20/23,,Mileage,53141,568523,  60.92 
NC2402295831,10/19/23,10/20/23,Other Ground Transportation,53141,568523,  74.47 
NC2402295840,10/19/23,10/23/23,Other Ground Transportation,53141,568523,  379.84 
NC2402295853,10/20/23,10/22/23,Other Ground Transportation,53141,568523,  98.44 
NC2402295859,10/20/23,10/22/23,Other Ground Transportation,53141,568523,  108.65 
NC2402295866,10/19/23,10/22/23,Other Ground Transportation,53141,568523,  123.14 
NC2402295870,01/30/24,01/30/24,Mileage,53141,354318,  48.91 
NC2402295871,10/20/23,10/22/23,Mileage,53141,568523,  201.74 
NC2402295871,10/20/23,10/22/23,Other Ground Transportation,53141,568523,  24.00 
NC2402295872,02/25/24,02/28/24,Other Ground Transportation,53141,440050-10600,  165.00 
NC2402295872,02/25/24,02/28/24,Mileage,53141,440050-10600,  522.60 
NC2402295877,10/20/23,10/22/23,Other Ground Transportation,53141,568523,  182.73 
NC2402295881,10/20/23,10/22/23,Other Ground Transportation,53141,568523,  49.92 
NC2402295884,10/19/23,10/22/23,Other Ground Transportation,53141,568523,  128.64 
NC2402295885,02/16/24,02/18/24,Mileage,53141,662590,  282.74 
NC2402295889,02/20/24,02/22/24,Other Ground Transportation,53141,567241-02987,  70.43 
NC2402295935,02/17/24,02/20/24,Other Ground Transportation,53141,665534,  74.87 
NC2402295954,11/29/23,12/01/23,Other Ground Transportation,53141,201049-05142,  41.98 
NC2403016012,10/19/23,10/22/23,Other Ground Transportation,53141,568523,  112.59 
NC2403016017,10/20/23,10/22/23,Other Ground Transportation,53141,568523,  101.81 
NC2403016019,10/19/23,10/21/23,Other Ground Transportation,53141,568523,  249.93 
NC2403016021,10/19/23,10/22/23,Other Ground Transportation,53141,568523,  69.58 
NC2403016022,10/20/23,10/22/23,Other Ground Transportation,53141,568523,  216.53 
NC2403016024,10/18/23,10/23/23,Other Ground Transportation,53141,568523,  87.98 
NC2403016052,02/26/24,02/28/24,Other Ground Transportation,53141,201585-10801,  87.31 
NC2403026071,02/12/24,02/16/24,Mileage,53141,531995-09946,  99.16 
NC2403026071,02/12/24,02/16/24,Other Ground Transportation,53141,531995-09946,  150.00 
NC2403046089,10/31/23,01/31/24,Other Ground Transportation,53141,583347-02698,  43.48 
NC2403046092,10/31/23,01/31/24,Other Ground Transportation,53141,583347-02698,  21.22 
NC2403046095,02/14/24,02/16/24,Other Ground Transportation,53141,355021,  275.34 
NC2403046096,12/10/23,12/16/23,Other Ground Transportation,53141,573678,  94.24 
NC2403046096,12/10/23,12/16/23,Mileage,53141,573678,  11.79 
NC2403046117,02/16/24,02/20/24,Mileage,53141,361471-10003,  391.28 
NC2403046163,02/15/24,02/16/24,Other Ground Transportation,53141,201553,  119.76 
NC2403046180,03/04/24,03/04/24,Mileage,53141,201559,  121.27 
NC2403046191,02/22/24,02/24/24,Other Ground Transportation,53141,201553,  35.85 
NC2403046195,02/01/24,,Mileage,53141,486250-10615,  207.03 
NC2403046197,01/31/24,02/04/24,Other Ground Transportation,53141,422050-07231,  39.32 
NC2403046205,02/12/24,02/16/24,Other Ground Transportation,53141,531995-09946,  78.44 
NC2403046205,02/12/24,02/16/24,Mileage,53141,531995-09946,  54.94 
NC2403046218,02/07/24,02/09/24,Mileage,53141,405050-05269,  396.64 
NC2403046226,02/26/24,02/27/24,Mileage,53141,375734,  220.43 
NC2403046236,03/01/24,03/03/24,Other Ground Transportation,53141,567852,  10.91 
NC2403046239,02/29/24,,Mileage,53141,201582-01003,  557.44 
NC2403046242,02/27/24,,Mileage,53141,532184,  349.74 
NC2403046246,02/22/24,,Mileage,53141,532184,  313.56 
NC2403046247,02/22/24,,Mileage,53141,532184,  127.30 
NC2403046251,02/15/24,02/17/24,Other Ground Transportation,53141,257604-43204,  206.52 
NC2403056280,02/22/24,,Mileage,53141,532184,  272.02 
NC2403056283,02/22/24,,Mileage,53141,532184,  438.18 
NC2403056285,02/22/24,,Mileage,53141,532184,  196.98 
NC2403056290,02/26/24,02/28/24,Other Ground Transportation,53141,257245,  125.32 
NC2403056300,02/22/24,02/24/24,Mileage,53141,201553,  91.79 
NC2403056304,02/28/24,03/01/24,Other Ground Transportation,53141,201400,  76.82 
NC2403056317,01/07/24,01/10/24,Other Ground Transportation,53141,562158,  140.81 
NC2403056320,02/15/24,,Mileage,53141,561222,  292.12 
NC2403056341,02/19/24,02/21/24,Other Ground Transportation,53141,201402,  155.72 
NC2403056347,02/28/24,03/02/24,Mileage,53141,375570-10239,  80.40 
NC2403056347,02/28/24,03/02/24,Other Ground Transportation,53141,375570-10239,  107.27 
NC2403056373,02/29/24,,Mileage,53141,201582-01003,  192.96 
NC2403066384,02/28/24,03/01/24,Other Ground Transportation,53141,675317,  70.58 
